epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4086,1.60361,3.79659,0.0126,0.28322,0.35229,0.19811,0.10036,1.59799,3.60642,0.01173,0.00028339,0.00028339,0.00028339
2,44.8828,1.47216,2.47251,0.01262,0.43562,0.37906,0.33721,0.1767,1.58801,2.70767,0.01207,0.000573823,0.000573823,0.000573823
3,53.2285,1.56744,1.9495,0.01352,0.53824,0.39961,0.43908,0.23704,1.55118,1.98925,0.01243,0.000854354,0.000854354,0.000854354
4,60.7425,1.54825,1.58246,0.0129,0.44881,0.44687,0.36985,0.1839,1.66912,2.21458,0.01419,0.00112498,0.00112498,0.00112498
5,68.8869,1.53443,1.49294,0.01356,0.48641,0.36364,0.3107,0.16266,1.68899,2.59177,0.01589,0.00138571,0.00138571,0.00138571
6,76.1349,1.5917,1.39378,0.01378,0.45183,0.47053,0.38412,0.20234,1.59223,1.97925,0.01293,0.00152947,0.00152947,0.00152947
7,84.4477,1.53428,1.33785,0.01277,0.49762,0.43888,0.42948,0.22094,1.71352,1.93465,0.0158,0.00150197,0.00150197,0.00150197
8,92.1689,1.58883,1.29331,0.01316,0.60909,0.5653,0.59916,0.30925,1.715,1.54874,0.01398,0.00147446,0.00147446,0.00147446
9,100.153,1.47907,1.19905,0.01308,0.52944,0.52439,0.47007,0.23916,1.64131,1.90734,0.01398,0.00144696,0.00144696,0.00144696
10,108.743,1.494,1.16385,0.01272,0.59076,0.57267,0.54912,0.2758,1.6014,1.54163,0.01303,0.00141945,0.00141945,0.00141945
11,116.264,1.47397,1.11048,0.0138,0.6955,0.55949,0.57179,0.30251,1.56051,1.63723,0.01199,0.00139195,0.00139195,0.00139195
12,124.868,1.48832,1.1047,0.01196,0.53616,0.61191,0.55851,0.29991,1.54907,1.57369,0.01215,0.00136444,0.00136444,0.00136444
13,133.221,1.46659,1.06496,0.01156,0.60196,0.6284,0.60321,0.3187,1.55228,1.37335,0.01302,0.00133693,0.00133693,0.00133693
14,141.706,1.45985,1.06015,0.01237,0.53302,0.58801,0.55823,0.29243,1.51354,1.58785,0.01243,0.00130943,0.00130943,0.00130943
15,150.439,1.53751,1.07974,0.01296,0.57387,0.64332,0.63547,0.31251,1.62256,1.33812,0.01289,0.00128192,0.00128192,0.00128192
16,158.232,1.43725,1.03053,0.01138,0.68011,0.49727,0.57744,0.31418,1.49878,1.56768,0.01158,0.00125442,0.00125442,0.00125442
17,166.764,1.40598,0.98895,0.0115,0.64176,0.60656,0.6234,0.33339,1.53975,1.28398,0.01228,0.00122691,0.00122691,0.00122691
